Date,Open,High,Low,Close,Volume
12-04-2000,3614,3754.85,3594.65,3714.25,14402716
13-04-2000,3711.75,3711.75,3483.25,3535.6,8045438
17-04-2000,3528.8,3528.8,3286.75,3304.15,2453686
18-04-2000,3304.15,3414.75,3189.25,3197.55,7892336
19-04-2000,3270.35,3305.8,3022.65,3052.3,9189243
20-04-2000,3050.75,3050.75,2849.2,2901.25,6088830
24-04-2000,2900.8,2918.8,2743.4,2761.35,11483561
25-04-2000,2759.4,2798.25,2572.65,2772.8,12413925
26-04-2000,2849.3,2949.3,2849.3,2944.8,9748826
27-04-2000,2943.6,2951.25,2806.35,2823.9,11261651
28-04-2000,2824.2,2870,2738.65,2788.65,12256400
02-05-2000,2780.95,2820.65,2541,2547.8,14085768
03-05-2000,2548.15,2548.15,2340.25,2477.85,16067143
04-05-2000,2479.7,2659.2,2479.7,2651.3,10284892
05-05-2000,2656.95,2815.5,2656.95,2779.85,15563272
08-05-2000,2786.15,2870,2654.25,2681.45,18911758
09-05-2000,2680.05,2791.05,2553.75,2778.4,17161999
10-05-2000,2818.85,2839.6,2612.7,2618.8,22114077
11-05-2000,2617.55,2617.55,2413.7,2423,13314846
12-05-2000,2425.85,2426.8,2266.1,2276.05,18228514
15-05-2000,2220.6,2375.9,2105.45,2344.8,22984738
16-05-2000,2350.15,2369.8,2272.75,2321,20710372
17-05-2000,2325.8,2442.45,2272.05,2306.8,14688152
18-05-2000,2303.8,2357,2297.3,2328.1,12393300
19-05-2000,2335.75,2357.95,2250.9,2268.85,18586463
22-05-2000,2267.55,2267.55,2151.45,2160.15,14403876
23-05-2000,2154.15,2183.35,2059.2,2136.4,18304347
24-05-2000,2135.15,2183.35,2092.85,2175.45,18466886
25-05-2000,2176.3,2245.6,2175.9,2197.65,15191305
26-05-2000,2196.9,2198.5,2155.25,2187.05,17059447
29-05-2000,2185.95,2252.45,2168.7,2241.85,15964941
30-05-2000,2249.2,2350.8,2249.2,2344.2,17327309
31-05-2000,2354,2496.35,2354,2448.7,14995037
01-06-2000,2444.65,2463.05,2424.55,2438.7,21413846
02-06-2000,2446.45,2531.4,2446.45,2521.1,20437227
05-06-2000,2522.6,2684.7,2522.6,2573.25,18319505
06-06-2000,2575.45,2632.45,2542.6,2621.4,19170825
07-06-2000,2624.3,2709.8,2609.85,2685.05,26092989
08-06-2000,2699.45,2765.4,2699.45,2753.95,19068047
09-06-2000,2761.9,2774.85,2646.05,2682.45,27641437
12-06-2000,2683.85,2686.6,2606.4,2628.1,24803172
13-06-2000,2635.6,2685.05,2564.05,2677.1,22817030
14-06-2000,2694.1,2765.85,2689.55,2732.7,22034267
15-06-2000,2734.05,2770.3,2707.9,2753.45,17533177
16-06-2000,2752.8,2790.5,2732.8,2777.6,25553224
19-06-2000,2778.35,2876.8,2778.35,2856.55,27672935
20-06-2000,2858.55,2973.3,2858.55,2956.65,24949197
21-06-2000,2951.75,2989.5,2855.7,2872.7,28287712
22-06-2000,2874.15,2891.7,2833.3,2867.4,19202917
23-06-2000,2861.4,2866.25,2751.3,2768.7,23155569
26-06-2000,2778.65,2778.65,2664.7,2726,19912752
27-06-2000,2727.35,2772.4,2699.05,2706.05,18220740
28-06-2000,2705.4,2743.7,2690.95,2732.4,21877240
